Session store: /root/.openclaw/agents/main/sessions/sessions.json
Sessions listed: 55
Kind   Key                        Age       Model          Tokens (ctx %)       Flags
direct agent:main:cron:...3e428c  8d ago    claude-sonnet-4-5-20250929 16k/200k (8%)        system id:d873bcec-0db3-4858-bf6b-a18abe3e428c
direct agent:main:cron:...03fc4a  8d ago    claude-sonnet-4-5-20250929 16k/200k (8%)        system id:4eae7ce8-ee3e-4b94-a0d9-b565a303fc4a
direct agent:main:cron:...029ce7  8d ago    claude-sonnet-4-5-20250929 16k/200k (8%)        system id:6e9c383b-d02b-49a5-8f08-a9da80029ce7
direct agent:main:cron:...5e8565  8d ago    claude-sonnet-4-5-20250929 16k/200k (8%)        system id:e002ef44-cb71-4c5a-b489-9ced655e8565
direct agent:main:cron:...f39ff0  8d ago    claude-sonnet-4-5-20250929 17k/200k (8%)        system id:72a445fd-ccfd-471f-bf35-76695af39ff0
direct agent:main:cron:...9b864b  8d ago    claude-sonnet-4-5-20250929 16k/200k (8%)        system id:043fcdde-93b5-4d2d-8647-fb9ec59b864b
direct agent:main:cron:...db9876  8d ago    claude-sonnet-4-5-20250929 16k/200k (8%)        system id:b8c7169a-ff8d-4900-8905-133f70db9876
direct agent:main:cron:...a65254  8d ago    claude-sonnet-4-5-20250929 16k/200k (8%)        system id:00862fa5-49f3-419d-bb81-8f2b07a65254
direct agent:main:cron:...35ccb7  8d ago    claude-sonnet-4-5-20250929 16k/200k (8%)        system id:36ca064b-52fa-4918-aa67-eb6c6735ccb7
direct agent:main:cron:...a32965  8d ago    claude-sonnet-4-5-20250929 16k/200k (8%)        system id:98eaa1ed-ace2-4205-83f6-7b122fa32965
direct agent:main:cron:...17c7cd  8d ago    claude-sonnet-4-5-20250929 16k/200k (8%)        system id:3d8aa1ae-6bee-4f24-890b-4294b517c7cd
direct agent:main:cron:...123b7d  9d ago    claude-opus-4-6-20260205 24k/200k (12%)       system id:a663d950-ed5a-47be-b111-72c103cdd4e3
direct agent:main:cron:...ebd28f  11d ago   claude-opus-4-6-20260205 21k/200k (10%)       system id:b8c836c4-e59f-4123-ae3f-086b71828438
